Signal_Source,Strategy,Parameters,Total_Return_Pct,Max_Drawdown_Pct,Sharpe_Ratio,Final_Value,Num_Trades,Trades_Per_Year,Time_in_Market_Pct,Win_Rate_Pct,Meets_Drawdown_Constraint
TQQQ,macd,"fast=8, slow=20, signal=7",19899.45,-47.61,1.31,10999698.39,335,26.74,51.81,34.73,False
QQQ,macd,"fast=8, slow=26, signal=7",19288.96,-47.08,1.31,10663928.12,313,24.98,50.78,33.33,False
TQQQ,macd,"fast=8, slow=26, signal=7",17947.76,-54.47,1.28,9926268.66,307,24.5,52.62,30.72,False
QQQ,macd,"fast=8, slow=20, signal=7",17597.26,-48.62,1.29,9733492.61,341,27.22,50.42,35.88,False
QQQ,macd,"fast=8, slow=32, signal=7",17245.79,-53.05,1.28,9540186.18,305,24.34,51.46,30.92,False
TQQQ,macd,"fast=8, slow=20, signal=9",15320.38,-55.02,1.25,8481210.11,305,24.34,52.2,27.63,False
TQQQ,macd,"fast=8, slow=32, signal=7",14617.17,-57.91,1.24,8094445.36,303,24.19,53.24,29.8,False
QQQ,macd,"fast=8, slow=32, signal=9",14300.03,-51.31,1.25,7920015.81,277,22.11,51.98,29.71,False
TQQQ,weighted,"MACD=0.5, SMA=0.5, threshold=0.4",14132.08,-59.16,1.06,7827645.15,78,6.23,90.03,43.59,False
TQQQ,or,Default,14132.08,-59.16,1.06,7827645.15,78,6.23,90.03,43.59,False
QQQ,macd,"fast=12, slow=20, signal=7",13833.27,-54.44,1.24,7663296.14,283,22.59,50.58,27.66,False
QQQ,macd,"fast=8, slow=20, signal=9",13616.98,-53.73,1.23,7544338.94,305,24.34,50.39,29.61,False
QQQ,weighted,"MACD=0.5, SMA=0.5, threshold=0.4",13377.41,-57.16,1.05,7412578.15,62,4.95,92.42,41.94,False
QQQ,or,Default,13377.41,-57.16,1.05,7412578.15,62,4.95,92.42,41.94,False
QQQ,sma,period=150,12702.25,-51.79,1.1,7041238.16,58,4.63,83.35,44.83,False
QQQ,macd,"fast=8, slow=26, signal=9",12517.93,-57.26,1.22,6939860.48,277,22.11,50.87,28.99,False
TQQQ,macd,"fast=12, slow=20, signal=7",12271.81,-58.99,1.2,6804495.58,279,22.27,52.04,29.5,False
TQQQ,macd,"fast=8, slow=26, signal=9",12123.73,-57.77,1.2,6723053.64,283,22.59,52.75,29.08,False
TQQQ,macd,"fast=12, slow=32, signal=7",11716.62,-50.97,1.19,6499141.22,263,20.99,54.5,27.48,False
QQQ,macd,"fast=12, slow=32, signal=7",11441.37,-51.96,1.2,6347751.16,265,21.15,52.53,28.79,False
QQQ,macd,"fast=12, slow=26, signal=7",11334.88,-51.31,1.2,6289181.66,267,21.31,51.42,26.32,False
TQQQ,macd,"fast=8, slow=32, signal=9",11304.4,-52.78,1.19,6272420.5,283,22.59,53.82,29.08,False
QQQ,macd,"fast=16, slow=20, signal=7",11137.67,-51.31,1.2,6180719.98,263,20.99,51.3,29.01,False
TQQQ,macd,"fast=12, slow=26, signal=7",10488.44,-54.96,1.17,5823644.13,275,21.95,53.47,29.2,False
QQQ,sma,period=200,10267.17,-51.79,1.06,5701942.11,57,4.55,84.13,25.0,False
QQQ,weighted,"MACD=0.4, SMA=0.6, threshold=0.4",10267.17,-51.79,1.06,5701942.11,57,4.55,84.13,25.0,False
QQQ,weighted,"MACD=0.4, SMA=0.6, threshold=0.5",10267.17,-51.79,1.06,5701942.11,57,4.55,84.13,25.0,False
QQQ,macd,"fast=8, slow=20, signal=12",9869.81,-57.52,1.17,5483395.34,263,20.99,50.71,28.24,False
QQQ,macd,"fast=8, slow=26, signal=12",9745.55,-51.96,1.17,5415050.83,261,20.83,51.85,27.69,False
TQQQ,macd,"fast=8, slow=26, signal=12",9667.27,-52.77,1.16,5372000.2,273,21.79,53.5,27.94,False
TQQQ,macd,"fast=8, slow=20, signal=12",9660.94,-53.84,1.16,5368516.83,273,21.79,52.33,27.21,False
TQQQ,sma,period=150,9461.72,-43.26,1.08,5258944.06,91,7.26,77.49,51.11,True
TQQQ,macd,"fast=16, slow=20, signal=7",9069.86,-55.56,1.14,5043423.59,273,21.79,53.11,26.47,False
QQQ,multi,Default,8920.27,-41.3,1.12,4961146.7,188,15.01,70.17,50.0,False
QQQ,macd,"fast=8, slow=32, signal=12",8803.51,-55.22,1.14,4896929.41,257,20.51,53.11,27.34,False
TQQQ,weighted,"MACD=0.6, SMA=0.4, threshold=0.5",8401.91,-54.21,1.13,4676048.09,251,20.03,54.18,28.8,False
TQQQ,weighted,"MACD=0.7, SMA=0.30000000000000004, threshold=0.6",8401.91,-54.21,1.13,4676048.09,251,20.03,54.18,28.8,False
TQQQ,weighted,"MACD=0.7, SMA=0.30000000000000004, threshold=0.4",8401.91,-54.21,1.13,4676048.09,251,20.03,54.18,28.8,False
TQQQ,weighted,"MACD=0.7, SMA=0.30000000000000004, threshold=0.5",8401.91,-54.21,1.13,4676048.09,251,20.03,54.18,28.8,False
TQQQ,weighted,"MACD=0.6, SMA=0.4, threshold=0.4",8401.91,-54.21,1.13,4676048.09,251,20.03,54.18,28.8,False
TQQQ,macd,"fast=12, slow=26, signal=9",8401.91,-54.21,1.13,4676048.09,251,20.03,54.18,28.8,False
QQQ,macd,"fast=12, slow=20, signal=9",8344.93,-53.7,1.14,4644712.18,271,21.63,50.55,27.41,False
QQQ,macd,"fast=16, slow=26, signal=7",8314.16,-52.38,1.13,4627785.87,253,20.19,52.91,28.57,False
TQQQ,macd,"fast=12, slow=20, signal=9",8283.95,-54.96,1.12,4611171.65,265,21.15,52.62,28.79,False
TQQQ,macd,"fast=16, slow=26, signal=7",8192.52,-53.57,1.12,4560886.37,255,20.35,54.53,26.77,False
QQQ,weighted,"MACD=0.7, SMA=0.30000000000000004, threshold=0.5",8088.69,-52.38,1.13,4503779.46,247,19.72,52.43,27.64,False
QQQ,weighted,"MACD=0.7, SMA=0.30000000000000004, threshold=0.6",8088.69,-52.38,1.13,4503779.46,247,19.72,52.43,27.64,False
QQQ,macd,"fast=12, slow=26, signal=9",8088.69,-52.38,1.13,4503779.46,247,19.72,52.43,27.64,False
QQQ,weighted,"MACD=0.6, SMA=0.4, threshold=0.4",8088.69,-52.38,1.13,4503779.46,247,19.72,52.43,27.64,False
QQQ,weighted,"MACD=0.6, SMA=0.4, threshold=0.5",8088.69,-52.38,1.13,4503779.46,247,19.72,52.43,27.64,False
QQQ,weighted,"MACD=0.7, SMA=0.30000000000000004, threshold=0.4",8088.69,-52.38,1.13,4503779.46,247,19.72,52.43,27.64,False
TQQQ,macd,"fast=16, slow=32, signal=7",7932.75,-49.56,1.12,4418011.28,243,19.4,55.25,26.45,False
TQQQ,macd,"fast=12, slow=32, signal=9",7926.46,-53.01,1.12,4414551.65,253,20.19,54.89,26.98,False
QQQ,sma,period=250,7902.96,-53.32,1.0,4401627.18,62,4.95,85.2,41.94,False
QQQ,macd,"fast=16, slow=20, signal=9",7805.86,-52.38,1.12,4348221.94,231,18.44,52.36,28.7,False
QQQ,macd,"fast=12, slow=20, signal=12",7721.61,-52.38,1.12,4301883.31,229,18.28,52.01,28.95,False
TQQQ,sma,period=200,7665.37,-52.02,1.04,4270956.07,59,4.71,78.47,51.72,False
TQQQ,weighted,"MACD=0.4, SMA=0.6, threshold=0.4",7665.37,-52.02,1.04,4270956.07,59,4.71,78.47,51.72,False
TQQQ,weighted,"MACD=0.4, SMA=0.6, threshold=0.5",7665.37,-52.02,1.04,4270956.07,59,4.71,78.47,51.72,False
TQQQ,macd,"fast=16, slow=20, signal=9",7591.61,-55.14,1.1,4230383.0,247,19.72,54.08,27.64,False
TQQQ,multi,Default,7512.07,-36.51,1.15,4186640.92,212,16.92,62.73,51.89,False
TQQQ,macd,"fast=8, slow=32, signal=12",7484.8,-55.88,1.1,4171639.26,257,20.51,54.92,26.56,False
QQQ,macd,"fast=12, slow=32, signal=9",7368.23,-57.21,1.11,4107525.03,243,19.4,53.5,28.1,False
TQQQ,macd,"fast=12, slow=20, signal=12",7281.86,-55.02,1.1,4060022.03,241,19.24,53.79,27.5,False
TQQQ,sma,period=250,6481.2,-51.79,1.0,3619661.69,54,4.31,79.02,40.74,False
QQQ,macd,"fast=16, slow=32, signal=7",6298.03,-56.16,1.07,3518916.27,251,20.03,53.92,28.0,False
QQQ,weighted,"MACD=0.5, SMA=0.5, threshold=0.5",6264.05,-42.4,1.22,3500228.1,240,19.16,44.14,53.33,False
QQQ,weighted,"MACD=0.4, SMA=0.6, threshold=0.6",6264.05,-42.4,1.22,3500228.1,240,19.16,44.14,53.33,False
QQQ,weighted,"MACD=0.6, SMA=0.4, threshold=0.6",6264.05,-42.4,1.22,3500228.1,240,19.16,44.14,53.33,False
QQQ,weighted,"MACD=0.5, SMA=0.5, threshold=0.6",6264.05,-42.4,1.22,3500228.1,240,19.16,44.14,53.33,False
QQQ,and,Default,6264.05,-42.4,1.22,3500228.1,240,19.16,44.14,53.33,False
TQQQ,macd,"fast=16, slow=32, signal=9",6146.92,-56.86,1.06,3435808.07,229,18.28,55.67,28.07,False
TQQQ,variable,Default,5849.21,-52.35,1.04,3272065.14,78,6.23,90.03,43.59,False
TQQQ,macd,"fast=16, slow=26, signal=9",5615.54,-53.32,1.04,3143546.01,233,18.6,54.63,27.59,False
TQQQ,macd,"fast=12, slow=32, signal=12",5538.18,-56.95,1.04,3100999.96,223,17.8,55.31,27.93,False
TQQQ,macd,"fast=12, slow=26, signal=12",5459.29,-53.32,1.04,3057610.69,231,18.44,54.47,27.83,False
QQQ,macd,"fast=12, slow=26, signal=12",5359.4,-58.36,1.04,3002668.92,233,18.6,52.98,27.59,False
QQQ,macd,"fast=16, slow=26, signal=9",5026.52,-58.36,1.03,2819586.23,241,19.24,53.14,25.83,False
QQQ,macd,"fast=16, slow=32, signal=9",4938.92,-54.64,1.02,2771407.92,239,19.08,54.08,26.89,False
TQQQ,macd,"fast=16, slow=20, signal=12",4864.21,-56.15,1.01,2730317.99,227,18.12,54.34,30.09,False
QQQ,macd,"fast=12, slow=32, signal=12",4701.89,-54.64,1.01,2641038.08,239,19.08,53.82,26.89,False
TQQQ,macd,"fast=16, slow=26, signal=12",4600.15,-56.63,1.0,2585081.78,213,17.0,55.31,29.25,False
QQQ,macd,"fast=16, slow=20, signal=12",4572.61,-56.28,1.01,2569933.76,223,17.8,52.88,31.53,False
TQQQ,weighted,"MACD=0.5, SMA=0.5, threshold=0.6",4383.89,-34.34,1.18,2466141.9,232,18.52,42.62,55.17,False
TQQQ,weighted,"MACD=0.6, SMA=0.4, threshold=0.6",4383.89,-34.34,1.18,2466141.9,232,18.52,42.62,55.17,False
TQQQ,weighted,"MACD=0.5, SMA=0.5, threshold=0.5",4383.89,-34.34,1.18,2466141.9,232,18.52,42.62,55.17,False
TQQQ,weighted,"MACD=0.4, SMA=0.6, threshold=0.6",4383.89,-34.34,1.18,2466141.9,232,18.52,42.62,55.17,False
TQQQ,and,Default,4383.89,-34.34,1.18,2466141.9,232,18.52,42.62,55.17,False
QQQ,macd,"fast=16, slow=26, signal=12",4131.82,-56.86,0.99,2327501.06,219,17.48,53.98,27.52,False
TQQQ,macd,"fast=16, slow=32, signal=12",3412.09,-55.78,0.94,1931651.8,211,16.84,55.63,24.76,False
QQQ,variable,Default,3378.76,-45.26,0.97,1913315.33,62,4.95,92.42,41.94,False
QQQ,macd,"fast=16, slow=32, signal=12",2478.62,-61.33,0.88,1418240.95,213,17.0,54.21,26.42,False
