SMA,Buffer%,Ladder Step,Entry Ticker,Exit Ticker,Total Return %,Max Drawdown %
180,0,0.33,TQQQ,TQQQ,1249.46,-47.38
180,0,0.5,TQQQ,TQQQ,1473.06,-46.42
180,0,1.0,TQQQ,TQQQ,2265.26,-44.6
180,0,0.33,TQQQ,QQQ,1116.47,-50.79
180,0,0.5,TQQQ,QQQ,1320.24,-47.36
180,0,1.0,TQQQ,QQQ,1486.97,-49.6
180,0,0.33,QQQ,TQQQ,1249.46,-47.38
180,0,0.5,QQQ,TQQQ,1473.06,-46.42
180,0,1.0,QQQ,TQQQ,2265.26,-44.6
180,0,0.33,QQQ,QQQ,2480.31,-53.52
180,0,0.5,QQQ,QQQ,3087.04,-50.8
180,0,1.0,QQQ,QQQ,4032.99,-44.21
180,1,0.33,TQQQ,TQQQ,1106.17,-47.38
180,1,0.5,TQQQ,TQQQ,1306.76,-46.42
180,1,1.0,TQQQ,TQQQ,1783.99,-44.6
180,1,0.33,TQQQ,QQQ,890.17,-50.79
180,1,0.5,TQQQ,QQQ,1110.58,-47.36
180,1,1.0,TQQQ,QQQ,1343.14,-49.6
180,1,0.33,QQQ,TQQQ,1279.89,-45.19
180,1,0.5,QQQ,TQQQ,1602.74,-44.94
180,1,1.0,QQQ,TQQQ,2483.53,-44.21
180,1,0.33,QQQ,QQQ,1657.57,-57.16
180,1,0.5,QQQ,QQQ,2105.19,-53.52
180,1,1.0,QQQ,QQQ,2962.88,-46.84
180,2,0.33,TQQQ,TQQQ,949.75,-48.54
180,2,0.5,TQQQ,TQQQ,1052.45,-48.22
180,2,1.0,TQQQ,TQQQ,1331.23,-48.32
180,2,0.33,TQQQ,QQQ,878.55,-50.79
180,2,0.5,TQQQ,QQQ,1014.16,-48.94
180,2,1.0,TQQQ,QQQ,1285.36,-49.6
180,2,0.33,QQQ,TQQQ,1365.94,-48.86
180,2,0.5,QQQ,TQQQ,1659.7,-47.4
180,2,1.0,QQQ,TQQQ,2935.2,-44.21
180,2,0.33,QQQ,QQQ,1606.44,-53.14
180,2,0.5,QQQ,QQQ,1921.17,-47.73
180,2,1.0,QQQ,QQQ,2546.02,-47.35
200,0,0.33,TQQQ,TQQQ,1596.25,-45.19
200,0,0.5,TQQQ,TQQQ,1759.43,-44.94
200,0,1.0,TQQQ,TQQQ,2369.02,-44.21
200,0,0.33,TQQQ,QQQ,1095.86,-50.79
200,0,0.5,TQQQ,QQQ,1379.82,-47.36
200,0,1.0,TQQQ,QQQ,1328.5,-49.6
200,0,0.33,QQQ,TQQQ,1596.25,-45.19
200,0,0.5,QQQ,TQQQ,1759.43,-44.94
200,0,1.0,QQQ,TQQQ,2369.02,-44.21
200,0,0.33,QQQ,QQQ,2100.3,-53.52
200,0,0.5,QQQ,QQQ,2452.11,-50.8
200,0,1.0,QQQ,QQQ,3668.12,-44.21
200,1,0.33,TQQQ,TQQQ,1500.05,-48.54
200,1,0.5,TQQQ,TQQQ,1729.02,-48.22
200,1,1.0,TQQQ,TQQQ,1951.25,-48.32
200,1,0.33,TQQQ,QQQ,807.39,-50.79
200,1,0.5,TQQQ,QQQ,956.56,-47.36
200,1,1.0,TQQQ,QQQ,1134.83,-49.6
200,1,0.33,QQQ,TQQQ,1665.6,-48.86
200,1,0.5,QQQ,TQQQ,1928.53,-47.4
200,1,1.0,QQQ,TQQQ,2626.68,-44.21
200,1,0.33,QQQ,QQQ,1508.72,-57.16
200,1,0.5,QQQ,QQQ,1662.4,-53.52
200,1,1.0,QQQ,QQQ,2341.48,-46.84
200,2,0.33,TQQQ,TQQQ,1474.12,-48.54
200,2,0.5,TQQQ,TQQQ,1659.41,-48.22
200,2,1.0,TQQQ,TQQQ,1908.23,-48.32
200,2,0.33,TQQQ,QQQ,722.71,-55.16
200,2,0.5,TQQQ,QQQ,755.65,-53.42
200,2,1.0,TQQQ,QQQ,1074.67,-49.6
200,2,0.33,QQQ,TQQQ,1784.34,-48.86
200,2,0.5,QQQ,TQQQ,2178.42,-47.4
200,2,1.0,QQQ,TQQQ,3123.95,-44.21
200,2,0.33,QQQ,QQQ,1037.25,-61.53
200,2,0.5,QQQ,QQQ,1129.0,-59.97
200,2,1.0,QQQ,QQQ,1493.99,-59.07
220,0,0.33,TQQQ,TQQQ,1723.97,-48.86
220,0,0.5,TQQQ,TQQQ,1847.03,-47.4
220,0,1.0,TQQQ,TQQQ,2299.74,-44.21
220,0,0.33,TQQQ,QQQ,888.9,-53.44
220,0,0.5,TQQQ,QQQ,1021.33,-48.54
220,0,1.0,TQQQ,QQQ,1441.7,-46.63
220,0,0.33,QQQ,TQQQ,1723.97,-48.86
220,0,0.5,QQQ,TQQQ,1847.03,-47.4
220,0,1.0,QQQ,TQQQ,2299.74,-44.21
220,0,0.33,QQQ,QQQ,1180.63,-53.52
220,0,0.5,QQQ,QQQ,1416.33,-50.8
220,0,1.0,QQQ,QQQ,2573.89,-44.92
220,1,0.33,TQQQ,TQQQ,1577.25,-45.98
220,1,0.5,TQQQ,TQQQ,1845.6,-46.23
220,1,1.0,TQQQ,TQQQ,2238.27,-46.86
220,1,0.33,TQQQ,QQQ,879.91,-50.79
220,1,0.5,TQQQ,QQQ,1034.23,-47.36
220,1,1.0,TQQQ,QQQ,1229.95,-49.6
220,1,0.33,QQQ,TQQQ,1657.63,-48.86
220,1,0.5,QQQ,TQQQ,2066.1,-47.4
220,1,1.0,QQQ,TQQQ,2553.61,-44.21
220,1,0.33,QQQ,QQQ,1300.53,-53.52
220,1,0.5,QQQ,QQQ,1434.56,-52.12
220,1,1.0,QQQ,QQQ,2456.08,-44.21
220,2,0.33,TQQQ,TQQQ,1397.86,-48.54
220,2,0.5,TQQQ,TQQQ,1541.69,-48.22
220,2,1.0,TQQQ,TQQQ,1820.75,-48.32
220,2,0.33,TQQQ,QQQ,621.19,-59.96
220,2,0.5,TQQQ,QQQ,610.03,-60.22
220,2,1.0,TQQQ,QQQ,733.19,-61.85
220,2,0.33,QQQ,TQQQ,1668.54,-48.86
220,2,0.5,QQQ,TQQQ,2124.05,-47.4
220,2,1.0,QQQ,TQQQ,2940.5,-44.21
220,2,0.33,QQQ,QQQ,933.18,-61.87
220,2,0.5,QQQ,QQQ,909.47,-60.5
220,2,1.0,QQQ,QQQ,1124.31,-60.14
